raw_text,clean_text
"i have further been informed of the possible risks and complications involved with surgery, drugs, and anesthesia.",i have further been informed of the possible risks and complications involved with surgery drugs and anesthesia
* you may take this document home to read or to discuss with your family members or doctor before deciding to take part in this research study.  ,you may take this document home to read or to discuss with your family members or doctor before deciding to take part in this research study
"i may need a blood transfusion; the nature and intended purpose; the potential risks, benefits and side effects, including any potential problems that may occur during recovery from the transfusion(s); the reasonable alternatives, including the potential risks, benefits and side effects related to those alternatives; the possible options including autologous, homologous and directed donation; any possible duration of incapacity; the risks and consequences of not receiving a transfusion(s); and the possible or likely results of the transfusion(s), including my likelihood of achieving treatment goals.",i may need a blood transfusion the nature and intended purpose the potential risks benefits and side effects including any potential problems that may occur during recovery from the transfusion s the reasonable alternatives including the potential risks benefits and side effects related to those alternatives the possible options including autologous homologous and directed donation any possible duration of incapacity the risks and consequences of not receiving a transfusion s and the possible or likely results of the transfusion s including my likelihood of achieving treatment goals
"no if yes, please explain:",no if yes please explain
you should discuss these with the study doctor and your regular health care provider if you choose.         ,you should discuss these with the study doctor and your regular health care provider if you choose
i consent to all transfusions given during my hospitalization or course of treatment,i consent to all transfusions given during my hospitalization or course of treatment
"you may choose not to be in the study, or, if you agree to be in the study, you may withdraw from the study at any time.",you may choose not to be in the study or if you agree to be in the study you may withdraw from the study at any time
the results of the ccgp will become a part of your medical record.,the results of the ccgp will become a part of your medical record
"on upper teeth whose roots are close to the sinus, a sinus infection may develop, a root tip may enter the sinus and/or an opening from the mouth to the sinus may occur which could require later medication or surgery.  ",on upper teeth whose roots are close to the sinus a sinus infection may develop a root tip may enter the sinus and or an opening from the mouth to the sinus may occur which could require later medication or surgery
the alternatives to this procedure include:  not performing the procedure.,the alternatives to this procedure include not performing the procedure
"if it is better for you, the interview can take place in your home or a friend's home.",if it is better for you the interview can take place in your home or a friend s home
"if you will be using an investigational procedure, such as an investigational surgical procedure or innovative diagnostic procedure, please clearly identify it as investigational.   ",if you will be using an investigational procedure such as an investigational surgical procedure or innovative diagnostic procedure please clearly identify it as investigational
i agree to my ccgp data being stored indefinitely in a de-identified way.  ,i agree to my ccgp data being stored indefinitely in a de identified way
"i understand that my name, telephone number and address are for __",i understand that my name telephone number and address are for
"[if the study doctor has a pager, insert the following: if you cannot reach the research staff, please page the study doctor at (insert investigator’s pager number)].  ",if the study doctor has a pager insert the following if you cannot reach the research staff please page the study doctor at insert investigator s pager number
do you have dual coverage?,do you have dual coverage
"i hereby give my consent and authorize  {the list of possible assistants, all of whom are privileged to provide surgical services at the hospital, is available) to treat the following conditions:  abnormal heart rhythm(s), congestive heart failure, syncope or fainting.",i hereby give my consent and authorize the list of possible assistants all of whom are privileged to provide surgical services at the hospital is available to treat the following conditions abnormal heart rhythm s congestive heart failure syncope or fainting
"(if applicable, include the following sentence.)",if applicable include the following sentence
how will my privacy and health information be protected?,how will my privacy and health information be protected
the first several study participants will receive the lowest dose.,the first several study participants will receive the lowest dose
"2. nature and purpose of the procedure-the placement of the titanium implant(s) in the jaw will serve as a tooth replacement, to anchor or stabilize a bridge or denture.",nature and purpose of the procedure the placement of the titanium implant s in the jaw will serve as a tooth replacement to anchor or stabilize a bridge or denture
"these tests interrogate all coding regions or the entire genome,  respectively.",these tests interrogate all coding regions or the entire genome respectively
[pi] in writing and let [him/her] know that you are withdrawing from the study.  ,pi in writing and let him her know that you are withdrawing from the study
the most common complications include bleeding and superﬁcial infection at the site of the puncture.  ,the most common complications include bleeding and super cial infection at the site of the puncture
a vein is a tube inside the body that carries blood from the  body to the heart.    ,a vein is a tube inside the body that carries blood from the body to the heart
all information obtained by dr.,all information obtained by dr
there will be about (insert number) people taking part in this study.  ,there will be about insert number people taking part in this study
"although, if the interview or group discussion has already taken place, the person cannot 'stop participation' but request that the information provided by them not be used in the research study.  ",although if the interview or group discussion has already taken place the person cannot stop participation but request that the information provided by them not be used in the research study
read this information sheet.,read this information sheet
"except when required by law, you will not be identified by name, social security number, address, telephone number, or any other direct personal identifier in study records disclosed outside of duke university health system (duhs).",except when required by law you will not be identified by name social security number address telephone number or any other direct personal identifier in study records disclosed outside of duke university health system duhs
__ people will take part at duke.  ,people will take part at duke
indicate whether participants will be financially responsible for any clinic/hospital charges.]  ,indicate whether participants will be financially responsible for any clinic hospital charges
"i consent to photography, filming, recording, x",i consent to photography filming recording x
"the type of anesthesia selected in a given case will depend on the medical condition of the patient, the nature of the procedure to be performed, and the preferences of the patient and of the surgeon.  ",the type of anesthesia selected in a given case will depend on the medical condition of the patient the nature of the procedure to be performed and the preferences of the patient and of the surgeon
i have read and understand the above mentioned policy.  ,i have read and understand the above mentioned policy
a negative result (not  finding variants) will not change your clinical diagnosis.   ,a negative result not finding variants will not change your clinical diagnosis
4) neither you nor your study doctor will be notified when research will be conducted or given reports or other information about any research that is done using your samples.,neither you nor your study doctor will be notified when research will be conducted or given reports or other information about any research that is done using your samples
"__no  metal shrapnel, bullets, bb’s, or pellets  implanted infusion pump or any mechanical or electrical implants coil, filter or wire in blood vessel orthopedic hardware (plates, screws, pins, rods, artificial limb or joint) implanted catheter or tube (port-a-cath, swan-ganz) surgical clips, staples, wires, mesh or sutures nitropatch or other",no metal shrapnel bullets bb s or pellets implanted infusion pump or any mechanical or electrical implants coil filter or wire in blood vessel orthopedic hardware plates screws pins rods artificial limb or joint implanted catheter or tube port a cath swan ganz surgical clips staples wires mesh or sutures nitropatch or other
another way to find out what will happen to you during the study is to read the chart below.,another way to find out what will happen to you during the study is to read the chart below
you will be asked to [describe any procedures for orderly termination from the protocol.,you will be asked to describe any procedures for orderly termination from the protocol
i understand that no additional genetic tests will be performed without  my specific consent/instructions.,i understand that no additional genetic tests will be performed without my specific consent instructions
"for example, subjects on a diabetes drug may experience loss of control of their diabetes unless they are switched to another medication.",for example subjects on a diabetes drug may experience loss of control of their diabetes unless they are switched to another medication
"(example: this research will involve your participation in a group discussion that will take about one and a half hour, and a one hour interview).  ",example this research will involve your participation in a group discussion that will take about one and a half hour and a one hour interview
"after this, the data from which the final report was generated will be de-identified,  and will be stored in a database that does not include any names or other information that would link them back to  any individual.",after this the data from which the final report was generated will be de identified and will be stored in a database that does not include any names or other information that would link them back to any individual
"this treatment may include the inpatient and outpatient services that my physicians, his or her associates, partners, assistants or designees may deem necessary or advisable, including but not limited to, routine diagnostic procedures such as x-ray, laboratory tests, including hiv antibody testing, anesthesia, emergency room services, nursing and/or medical treatment/ surgical treatment.",this treatment may include the inpatient and outpatient services that my physicians his or her associates partners assistants or designees may deem necessary or advisable including but not limited to routine diagnostic procedures such as x ray laboratory tests including hiv antibody testing anesthesia emergency room services nursing and or medical treatment surgical treatment
[pi] and [his/her] study team will report the results of your study-related laboratory tests and x-rays to [sponsor name].    ,pi and his her study team will report the results of your study related laboratory tests and x rays to sponsor name
i have also been given and have read the patient information sheet on moderate sedation/analgesia (''conscious sedation''),i have also been given and have read the patient information sheet on moderate sedation analgesia conscious sedation
participants who are illiterate should include their thumb print as well.    ,participants who are illiterate should include their thumb print as well
"however, according to the fda, the safety of mri procedures during pregnancy has not been definitively proven and not recommended except in extraordinary circumstances.",however according to the fda the safety of mri procedures during pregnancy has not been definitively proven and not recommended except in extraordinary circumstances
"iacknowledge that there may be an increased risk for the need of blood transfusion, and i give my full consent to receive blood and blood products as necessa ry unless specifically stated here:  ",iacknowledge that there may be an increased risk for the need of blood transfusion and i give my full consent to receive blood and blood products as necessa ry unless specifically stated here
"[include for research that involves procedures whose risk profile is not well known, including all research involving an investigational product.",include for research that involves procedures whose risk profile is not well known including all research involving an investigational product
"i consent to the administration of anesthesia, including local, intravenous and/or general anesthesia with the exception of:",i consent to the administration of anesthesia including local intravenous and or general anesthesia with the exception of
state also the name (and contact details) of the local irb that has approved the proposal.,state also the name and contact details of the local irb that has approved the proposal
"the researchers ask your permission to store and use your samples and related health information (for example, your response to cancer treatment, results of study tests and medicines you are given) for medical research.",the researchers ask your permission to store and use your samples and related health information for example your response to cancer treatment results of study tests and medicines you are given for medical research
[describe any consequence of withdrawal.,describe any consequence of withdrawal
* when applicable indicate that the subject will be contacted for future research.  ,when applicable indicate that the subject will be contacted for future research
"note: ""collection date"" or ""date of surgery"" will need to be removed for the specimens to be considered ""de-identified"" per hipaa; however, if including dates or other hipaa identifiers with the specimens is necessary, release of a limited data set may be required.",note collection date or date of surgery will need to be removed for the specimens to be considered de identified per hipaa however if including dates or other hipaa identifiers with the specimens is necessary release of a limited data set may be required
clinicaltrials.gov is a website that provides information about federally and privately supported clinical trials.,clinicaltrials gov is a website that provides information about federally and privately supported clinical trials
: you have the right to revoke your authorization at any time by writing to the tissue procurement core at .,you have the right to revoke your authorization at any time by writing to the tissue procurement core at
"if yes, how often?",if yes how often
"an increased risk that instruments (forceps or vacuum extractor) may be used to accomplish a vaginal delivery, if necessary.  ",an increased risk that instruments forceps or vacuum extractor may be used to accomplish a vaginal delivery if necessary
"consent for receipt of tissue(s): dyes (please list), ------0 not expected to be needed, but may be required and given in an emergency d refused on/a  9.  ",consent for receipt of tissue s dyes please list not expected to be needed but may be required and given in an emergency d refused on a
"i realize that the facility is involved in medical education programs for medical , nursing and other health care personnel who may be involved with my care as a part of their education.",i realize that the facility is involved in medical education programs for medical nursing and other health care personnel who may be involved with my care as a part of their education
university of pennsylvania health system department of radiology division of vascular and interventional radiology  consent for diagnostic and/or therapeutic paracentesis agreement:  ,university of pennsylvania health system department of radiology division of vascular and interventional radiology consent for diagnostic and or therapeutic paracentesis agreement
"the protocol and icf each specify that the specimen(s) is being obtained (check all that apply):   solely for research (would not be obtained as part of standard care), or   as part of standard clinical care (leftover/discard)   in addition to that which would be obtained for standard clinical care, specify how much this additional amount is for tissue banking:            (for optional tissue banking only) in addition to what would be obtained for the main research study; specify how much this additional amount is for tissue banking:          ",the protocol and icf each specify that the specimen s is being obtained check all that apply solely for research would not be obtained as part of standard care or as part of standard clinical care leftover discard in addition to that which would be obtained for standard clinical care specify how much this additional amount is for tissue banking for optional tissue banking only in addition to what would be obtained for the main research study specify how much this additional amount is for tissue banking
no  screening questionnaire and consent form patient information: (patient to complete),no screening questionnaire and consent form patient information patient to complete
"i have been informed and fully understand that there are certain inherent and potential risks associated with any type of surgical procedure, including extractions.",i have been informed and fully understand that there are certain inherent and potential risks associated with any type of surgical procedure including extractions
you may withdraw from this study at any time.  ,you may withdraw from this study at any time
policy and fees: rescheduling of an appointment with 2 business days notification – no charge failure to give a 2 business days in advance notice:,policy and fees rescheduling of an appointment with business days notification no charge failure to give a business days in advance notice
the patient will not receive further communication from awdentistry unless the insurance company has not paid your claim that is due fr from om services rendered within 30 days of the procedure.,the patient will not receive further communication from awdentistry unless the insurance company has not paid your claim that is due fr from om services rendered within days of the procedure
"if you are sexually active, you must agree to use a medically acceptable form of birth control in order to be in this study and for (specify if applicable) months afterward.",if you are sexually active you must agree to use a medically acceptable form of birth control in order to be in this study and for specify if applicable months afterward
"amniotomy-rupture of the bag of waters to induce or expedite labor, to provide access to the fetus for internal monitoring and to assess the nature of the amniotic ﬂuid.",amniotomy rupture of the bag of waters to induce or expedite labor to provide access to the fetus for internal monitoring and to assess the nature of the amniotic uid
"anyone who has ever had a life-threatening allergic reaction to yeast, to any other component of hpv vaccine, or to a previous dose of hpv vaccine should not get the vaccine.",anyone who has ever had a life threatening allergic reaction to yeast to any other component of hpv vaccine or to a previous dose of hpv vaccine should not get the vaccine
"if you wish to participate in this study, please sign and date below.  ",if you wish to participate in this study please sign and date below
"to enable a rational choice about participating, participants should be aware of the full range of options available to them.   ",to enable a rational choice about participating participants should be aware of the full range of options available to them
"if practical, prepare a timeline or schedule of procedures to accompany descriptions of procedures and tests for research that require more than 1 or 2 steps/visits.",if practical prepare a timeline or schedule of procedures to accompany descriptions of procedures and tests for research that require more than or steps visits
"i realize that my doctor may discover conditions requiring different surgery from that which was planned, and i give my permission for those additional procedures that are advisable in the exercise of professional judgment.  ",i realize that my doctor may discover conditions requiring different surgery from that which was planned and i give my permission for those additional procedures that are advisable in the exercise of professional judgment
template on following page         [your institutional letter head]        please do not submit consent forms on the who letter head   [informed consent form for _,template on following page your institutional letter head please do not submit consent forms on the who letter head informed consent form for
use local and simplified words rather than scientific terms and professional jargon.,use local and simplified words rather than scientific terms and professional jargon
[describe how the survey will be distributed and collected].,describe how the survey will be distributed and collected
"for questions about your rights as a research participant, or to discuss problems, concerns or suggestions related to the research, or to obtain information or offer input about the research, contact the duke university health system institutional review board (irb) office at (919) 668-5111.  ",for questions about your rights as a research participant or to discuss problems concerns or suggestions related to the research or to obtain information or offer input about the research contact the duke university health system institutional review board irb office at
i acknowledge that no guarantees have been made to me as to the results of exams or treatments.,i acknowledge that no guarantees have been made to me as to the results of exams or treatments
these may be a minor or so severe as to cause death.,these may be a minor or so severe as to cause death
"for additional information about giving consent or your rights as a participant in this study, contact the institutional review board office at (615) 322-2918 or toll free at (866) 224-8273.  ",for additional information about giving consent or your rights as a participant in this study contact the institutional review board office at or toll free at
"for all studies  we will tell you about new information that may affect your health, welfare, or willingness to stay in this study.  ",for all studies we will tell you about new information that may affect your health welfare or willingness to stay in this study
"if you withdraw from the study, no new data about you will be collected for study purposes other than data needed to keep track of your withdrawal.",if you withdraw from the study no new data about you will be collected for study purposes other than data needed to keep track of your withdrawal
"if practical, prepare a time-line chart or schematic to accompany descriptions of procedures and tests for research that require more than 1 or 2 steps/visits * the drugs or biologics that will be given to the subject * all devices that will be used * all hospitalizations, outpatient visits and telephone or written follow-up",if practical prepare a time line chart or schematic to accompany descriptions of procedures and tests for research that require more than or steps visits the drugs or biologics that will be given to the subject all devices that will be used all hospitalizations outpatient visits and telephone or written follow up
this may be related to other complications of pregnancy and other medications.,this may be related to other complications of pregnancy and other medications
"instead of being in this research study, your choices may include: [list alternatives procedures.",instead of being in this research study your choices may include list alternatives procedures
"• perforation of the maxillary sinus, possibly requiring further treatment • in rare cases, fracture of the jaw requiring further treatment  i understand that tooth extraction is an elective procedure, and there are often alternative treatments, such as a root canal and restoration or performing no treatment at all.  ",perforation of the maxillary sinus possibly requiring further treatment in rare cases fracture of the jaw requiring further treatment i understand that tooth extraction is an elective procedure and there are often alternative treatments such as a root canal and restoration or performing no treatment at all
"if you wish to find about more about the irb, contact [name, address, telephone number.])",if you wish to find about more about the irb contact name address telephone number
what happens to the information collected for the research?,what happens to the information collected for the research
i am consenting to the insertion of a picc.    ,i am consenting to the insertion of a picc
": o members of the << insert appropriate institution(s) e.g. university of utah health sciences center, primary children’s hospital, shriners hospital >>;",o members of the insert appropriate institution s e g university of utah health sciences center primary children s hospital shriners hospital
instructions will be given as to their care ant use which must also be followed exactly.,instructions will be given as to their care ant use which must also be followed exactly
ic-42 mrec  authorization.,ic mrec authorization
• a statement that notes the possibility that the food and drug administration may inspect the records.,a statement that notes the possibility that the food and drug administration may inspect the records
text example: phase 1 dose escalation studies different doses of the study drug (insert name of research drug) will be given to several study participants.,text example phase dose escalation studies different doses of the study drug insert name of research drug will be given to several study participants
"➢ examples of question to elucidate understanding: if you decide to take part in the study, do you know how much time will the interview take? where will it take place?",examples of question to elucidate understanding if you decide to take part in the study do you know how much time will the interview take where will it take place
(v) how the study records will be kept and who can see them.  ,v how the study records will be kept and who can see them
"with your permission, i will audiotape and take notes during the interview.  ",with your permission i will audiotape and take notes during the interview
"compensation [include information on payment or other types of compensation as applicable, specifying method and timing of payment, e.g., ""to thank you for participating in this study, you will receive a $20 gift card for _",compensation include information on payment or other types of compensation as applicable specifying method and timing of payment e g to thank you for participating in this study you will receive a gift card for
if you choose not to participate all the services you receive at this centre will continue and nothing will change.   ,if you choose not to participate all the services you receive at this centre will continue and nothing will change
there might be other side effects that researchers do not yet know about.,there might be other side effects that researchers do not yet know about
"if no, explain_",if no explain
"because the columbia combined panel is more complicated than prior  genetic testing you may have had, the consent and ordering process must be thorough and will be done with the  assistance of a genetic counselor and/or your doctor.   ",because the columbia combined panel is more complicated than prior genetic testing you may have had the consent and ordering process must be thorough and will be done with the assistance of a genetic counselor and or your doctor
this study is expected to continue indefinitely.,this study is expected to continue indefinitely
the tapes will be destroyed after,the tapes will be destroyed after
"you may choose not to be in the study, or, if you agree to be in the study, you may withdraw from the study at any time.",you may choose not to be in the study or if you agree to be in the study you may withdraw from the study at any time
"are you aware of your jaw clicking, popping, or making grating-like noises?",are you aware of your jaw clicking popping or making grating like noises
and i consent to the administration and management of such anesthesia as the anesthesiologist assigned to my procedure(s) deems appropriate.,and i consent to the administration and management of such anesthesia as the anesthesiologist assigned to my procedure s deems appropriate
"4. avoid naming specific drugs as these could change with the availability of new treatments, except where a particular agent is so commonly accepted that it provides the easiest explanation.  ",avoid naming specific drugs as these could change with the availability of new treatments except where a particular agent is so commonly accepted that it provides the easiest explanation
a picc may be recommended by my physician for any of ,a picc may be recommended by my physician for any of
"i permit the facility to photograph, film or video tape, operations or procedures showing portions of my body for telemedicine, medical, scientific and educational purposes provided my identity is not revealed.",i permit the facility to photograph film or video tape operations or procedures showing portions of my body for telemedicine medical scientific and educational purposes provided my identity is not revealed
asthma- the medicine may cause or worsen asthma.,asthma the medicine may cause or worsen asthma
"although efforts are made to ensure quality, the sterility of the graft material is provided by the manufacturer and not the dentist.",although efforts are made to ensure quality the sterility of the graft material is provided by the manufacturer and not the dentist
example: it is up to you and your child to decide whether or not they will receive this treatment.  ,example it is up to you and your child to decide whether or not they will receive this treatment
"much of this research is done using samples from your tissue, blood, urine, or other fluids.",much of this research is done using samples from your tissue blood urine or other fluids
you will be given a copy of this form to keep for your own records. 	,you will be given a copy of this form to keep for your own records
we are inviting you to take part in this research project.,we are inviting you to take part in this research project
you will have the following tests and procedures to make sure that you are eligible:  ,you will have the following tests and procedures to make sure that you are eligible
"there is no standard definition of the frequency of risks included in this category however, as a guideline, ""occasional, some may be serious"" can be viewed as occurring between 4 and 20% of patients.",there is no standard definition of the frequency of risks included in this category however as a guideline occasional some may be serious can be viewed as occurring between and of patients
the results of genetic testing are considered “protected health information” (phi) as described in the health insurance portability and accountability act (hipaa) of 1996 (public law 104-191).,the results of genetic testing are considered protected health information phi as described in the health insurance portability and accountability act hipaa of public law
• phrases such as “i understand…” or “,phrases such as i understand or
ihereby authorize dr.,ihereby authorize dr
"– http://www.who.int/rpc/research_ethics       (this template is for research interventions that use questionnaires, in-depth interviews or focus group discussions ) (language used throughout form should be at the level of a local student of class 6th/8th)  ",http www who int rpc research ethics this template is for research interventions that use questionnaires in depth interviews or focus group discussions language used throughout form should be at the level of a local student of class th th
"this will be the first time that (insert name of research intervention, e.g., f18-fluoroglutamine) is being tried in people.",this will be the first time that insert name of research intervention e g f fluoroglutamine is being tried in people
"if you withdraw from the study, no new data about you will be collected for study purposes unless the data concern an adverse event (a bad effect) related to the study.  ",if you withdraw from the study no new data about you will be collected for study purposes unless the data concern an adverse event a bad effect related to the study
you will be having iv sedation or general anesthesia.,you will be having iv sedation or general anesthesia
* recommendations for use of educational attachments to the consent form may be found on the last page of this template.,recommendations for use of educational attachments to the consent form may be found on the last page of this template
please ask the doctor if you have any questions concerning this consent form before signing it.  ,please ask the doctor if you have any questions concerning this consent form before signing it
how much you will be re-imbursed? do you have any other questions?  ,how much you will be re imbursed do you have any other questions
"for studies involving an fda regulated product (drug, device, or biologic) (outside duhs sponsor)  ",for studies involving an fda regulated product drug device or biologic outside duhs sponsor
"* you carry a gene for a disease and might consider informing relatives that they, too, might carry the gene.   ",you carry a gene for a disease and might consider informing relatives that they too might carry the gene
"if you do decide to withdraw, we ask that you contact dr.",if you do decide to withdraw we ask that you contact dr
"storing your sample may allow you to request testing in the  future without having to obtain a new sample, or to participate in future research, should you wish to do so.   ",storing your sample may allow you to request testing in the future without having to obtain a new sample or to participate in future research should you wish to do so
there are no costs to you or your insurance.,there are no costs to you or your insurance
use the following text for all studies:,use the following text for all studies
"delete types of ce's that do not apply to this study] by signing this form, you allow the use, sharing, copying, and release of your protected health information in connection with this study by: •	the members of the research team; •	other healthcare providers such as labs which are part of the study; •	a safety monitoring board {include only if applicable}; •	institutional officials who are responsible for compliance; some of the tests in this study would have been done as part of your regular care.  ",delete types of ce s that do not apply to this study by signing this form you allow the use sharing copying and release of your protected health information in connection with this study by the members of the research team other healthcare providers such as labs which are part of the study a safety monitoring board include only if applicable institutional officials who are responsible for compliance some of the tests in this study would have been done as part of your regular care
"if known, describe the probability and magnitude of the risk].",if known describe the probability and magnitude of the risk
doctor date  a b c  patient information  date,doctor date a b c patient information date
"episiotomy-an incision made in the perineum, the area between the vagina and the rectum, at the end of the second stage of labor to avoid tearing of the perineum and to facilitate delivery of the baby.",episiotomy an incision made in the perineum the area between the vagina and the rectum at the end of the second stage of labor to avoid tearing of the perineum and to facilitate delivery of the baby
"____ (initial) please discard dna and other biologic materials used in my ccgp testing, 60 days after all testing is  completed.   ",initial please discard dna and other biologic materials used in my ccgp testing days after all testing is completed
