clue,definition
give,present to view
give,perform for an audience
give,be flexible under stress of physical force
give,propose
give,accord by verdict
give,manifest or show
give,offer in good faith
give,"submit for consideration, judgment, or use"
give,"guide or direct, as by behavior of persuasion"
give,allow to have or take
give,inflict as a punishment
give,occur
give,consent to engage in sexual intercourse with a man
give,proffer (a body part)
let,a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India
let,a serve that strikes the net before falling into the receiver's court; the ball must be served again
let,make it possible through a specific action or lack of action for something to happen
let,actively cause something to happen
let,"consent to, give permission"
let,cause to move; cause to be in a certain position or condition
let,leave unchanged
let,grant use or occupation of under a term of contract
authorize,grant authorization or clearance for
authorize,give or delegate power or authority to
grant,any monetary aid
grant,the act of providing a subsidy
grant,(law) a transfer of property by deed of conveyance
grant,Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)
grant,United States actor (born in England) who was the elegant leading man in many films (1904-1986)
grant,18th President of the United States; commander of the Union armies in the American Civil War (1822-1885)
grant,a contract granting the right to operate a subsidiary business
grant,a right or privilege that has been granted
grant,let have
grant,give as judged due or on the basis of merit
grant,be willing to concede
grant,allow to have
grant,"bestow, especially officially"
grant,give over; surrender or relinquish to the physical control of another
grant,transfer by deed
approve,give sanction to
approve,judge to be right or commendable; think well of
consent,permission to do something
consent,give an affirmative reply to; respond favorably to
sanction,formal and explicit approval
sanction,a mechanism of social control for enforcing a society's standards
sanction,official permission or approval
sanction,the act of final authorization
sanction,give sanction to
sanction,give authority or permission to
sanction,"give religious sanction to, such as through on oath"
certify,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes"
certify,guarantee payment on; of checks
certify,authorize officially
certify,guarantee as meeting a certain standard
certify,declare legally insane
check,a written order directing a bank to pay money
check,an appraisal of the state of affairs
check,the bill in a restaurant
check,the state of inactivity following an interruption
check,additional proof that something that was believed (some fact or hypothesis or theory) is correct
check,the act of inspecting or verifying
check,a mark indicating that something has been noted or completed etc.
check,something immaterial that interferes with or delays action or progress
check,a mark left after a small piece has been chopped or broken off of something
check,a textile pattern of squares or crossed lines (resembling a checkerboard)
check,the act of restraining power or action or limiting excess
check,obstructing an opponent in ice hockey
check,(chess) a direct attack on an opponent's king
check,"examine so as to determine accuracy, quality, or condition"
check,make an examination or investigation
check,be careful or certain to do something; make certain of something
check,lessen the intensity of; temper; hold in restraint; hold or keep within limits
check,"stop for a moment, as if out of uncertainty or caution"
check,put a check mark on or near or next to
check,slow the growth or development of
check,be verified or confirmed; pass inspection
check,"be compatible, similar or consistent; coincide in their characteristics"
check,block or impede (a player from the opposing team) in ice hockey
check,develop (children's) behavior by instruction and practice; especially to teach self-control
check,consign for shipment on a vehicle
check,hand over something to somebody as for temporary safekeeping
check,"abandon the intended prey, turn, and pursue an inferior prey"
check,stop in a chase especially when scent is lost
check,mark into squares or draw squares on; draw crossed lines on
check,decline to initiate betting
check,"hold back, as of a danger or an enemy; check the expansion or influence of"
check,place into check
check,write out a check on a bank account
check,"find out, learn, or determine with certainty, usually by making an inquiry or other effort"
check,verify by consulting a source or authority
check,arrest the motion (of something) abruptly
check,make cracks or chinks in
check,become fractured; break or crack on the surface only
agree,be in accord; be in agreement
agree,"consent or assent to a condition, or agree to do something"
agree,"be compatible, similar or consistent; coincide in their characteristics"
agree,go together
agree,show grammatical agreement
agree,be agreeable or suitable
agree,"achieve harmony of opinion, feeling, or purpose"
accept,consider or hold as true
accept,receive willingly something given or offered
accept,give an affirmative reply to; respond favorably to
accept,react favorably to; consider right and proper
accept,admit into a group or community
accept,take on as one's own the expenses or debts of another person
accept,tolerate or accommodate oneself to
accept,be designed to hold or take
accept,"receive (a report) officially, as from a committee"
accept,make use of or accept for some purpose
accept,"be sexually responsive to, used of a female domesticated mammal"
admit,declare to be true or admit the existence or reality or truth of
admit,allow to enter; grant entry to
admit,"allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of"
admit,admit into a group or community
admit,afford possibility
admit,give access or entrance to
admit,have room for; hold without crowding
admit,serve as a means of entrance
attest,"provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes"
attest,"authenticate, affirm to be true, genuine, or correct, as in an official capacity"
attest,give testimony in a court of law
attest,establish or verify the usage of
