file_id,candidate_statement
578,6 medications and anesthetics may cause drowsiness and lack of coordination which can be increased by use of alcohol or other drugs thus i have been advised and agree not to operate any vehicle automobile or hazardous devices or work while taking such medications or until fully recovered from the effects of same
578,i understand that no guarantee can be promised and i give my free and voluntary consent for treatment
578,my doctor has explained the risks of the procedure advised me of alternative treatments and told me about the expected outcome and what could happen if my condition remains untreated
578,i certify and acknowledge that i have read this form or had it read to me that i understand the risks alternatives and expected results of the anesthesia service and that i had ample time to ask questions and to consider my decision
578,i have read and fully understand this consent for surgery
578,i understand that these risks apply to all for s of anesthesia and that additional or specific risks have been identified below as they may apply to a specific type of anesthesia
578,or his her associates all of whom are credentialed to provide anesthesia services at this healthcare facility
578,i authorize and request the doctor perform such procedures as are necessary in the exercise of professional judgment
578,complete address phone
578,i certify that i speak read and write english
578,my signature below signifies that all questions have been answered to my satisfaction regarding the consent and i fully understand the risks involved of the proposed surgery and local anesthesia
578,i authorize dr
578,i realize that my doctor may discover conditions requiring different surgery from that which was planned and i give my permission for those additional procedures that are advisable in the exercise of professional judgment
578,please check the following that apply high blood pressure heart disease chest pain shortness of breath irregular heart rate or rhythm peripheral vascular disease history of heart
578,pt id consent for anesthesia services i
578,it has been explained to me that all forms of anesthesia involve some risks and no guarantees or promises can be made concerning the results of my procedure or treatment
578,i consent to the administration of anesthesia including local intravenous and or general anesthesia with the exception of to which i said i was allergic
578,i agree to cooperate with the recommendations of the doctor while under his her care realizing that lack of same could result in a less than optimum result
578,i agree not to drive myself home after my discharge from surgery if i am put to sleep
578,i also understand that anesthesia services are needed or requested so that my doctor can perform the procedure s
578,social security employer occupation e mail address work phone cell phone if patient is a minor give parent s or guardian s name whom may we thank for referring you to our of ce responsible party information name last first middle marital status residence street city state zip street city state zip mailing address how long at this addresshome phone work phone e mail address cell phone previous address if less than 3 yrs
578,no dental history previous dentist date of last visit last full mouth x rays last complete dental exam what is your immediate dental concern
578,i also consent to an alternative type of anesthesia if necessary as deemed appropriate by them
578,it has been explained to me that during the course of the procedure s unforeseen conditions may necessitate an extension of the original procedures or different procedure s than those described above
578,please ask the doctor if you have any questions concerning this consent form before signing it
154,wk31 authorization to use phi is required to participate by signing this form you give us permission to use and share your phi as described in this document
154,the sponsor may disclose your phi to other people and groups like study monitors to help conduct the study or to provide oversight for the study
154,please refer to your funding document grant sub contract clinical trial agreement etc and select the appropriate language
154,if your case meets all four of these requirements and you have private insurance emory and children s healthcare will look at the claims for these costs to see if they can be sent to your insurer for payment
154,which study procedures are investigational e g you would have the first mri scan even if you were no in the study
154,wk19 include this section if study has a certificate of confidentiality
154,a designated record set is data that includes medical information or billing records that your health care providers use to make decisions about you
154,something like you will be get for each completed study visit
154,then you can decide if you want to continue to be in this study or not
154,if you believe you have become ill or injured from this research you should contact dr
154,you may also let the irb know about your experience as a research participant through our research participant survey at http www surveymonkey com s 6zdmw75
154,people that will use and or disclose your phi the following people and groups will use and disclose your phi in connection with the research study the principal investigator and the research staff will use and disclose your phi to conduct the study and give you study related treatment
154,initials ks43 expiration of your authorization this authorization will not expire because it is a research study
154,you do not have to sign this form to authorize the use and disclosure of your phi
154,slk54 if you leave the study before the final planned study visit the researchers may ask you to have some of the final steps done
154,you can still be in the main research study even if you don t participate in the optional study
154,if a this is an fda regulated clinical investigation that has a sponsor investigator but the clinical investigation is also receiving financial or material e g provision of drug device etc
154,do not sign this consent form unless you have had a chance to ask questions and get answers that make sense to you
154,wk24 authorization to use and disclose protected health information the privacy of your health information is important to us
154,if they cannot be removed we will take steps to limit access to them
154,if it is necessary for your health care your health information will be provided to your doctor
154,ks27 delete this header if there are no sub studies
154,wk39 include this language if sponsor has agreed to pay for all or any portion of subject injury
154,the research team and the sponsor may use and disclose your phi including disclosure to insurance carriers to administer payment for subject injury wk39
154,if you want to do this you must write to at that point the researchers would not collect any more of your phi
154,the research team and the sponsor may use and disclose your phi including disclosure to insurance carriers to administer payment for subject injury wk33
154,ks56 as appropriate i57 delete if not applicable
154,emory and children s healthcare will send in only those claims for items and services that it reasonably believes your insurance will pay and that the sponsor has not paid
154,to comply with this federal mandate the researchers are required to obtain your social security number to complete the form
154,you can also ask the study team for help in figuring out what you will have to pay
154,the decision to join or not join the research study will not cause you to lose any medical benefits
154,if you decide not to take part in this study your doctor will continue to treat you
154,feel free to take your time thinking about whether you would like to participate
154,the following people and groups will use your phi to make sure the research is done correctly and safely o emory and children s healthcare offices that are part of the human research participant protection program and those that involved in study administration and billing
154,you and the study doctor should agree on a method of birth control to use throughout the study
154,the sponsor may use and disclose your phi to make sure the research is done correctly and to collect and analyze the results of the research
154,by signing this form you will not give up any legal rights
154,wk18 delete if study has a certificate of confidentiality
154,other treatment outside this study i17 if you decide not to enter this study there is care available to you outside of this research
154,emory and children s healthcare may use and disclose your phi to get payment for study related treatment and to run normal business operations
154,if you do not have insurance emory and children s healthcare will review your case as part of their programs for low income patient care
154,when the study ends and at your request you generally will have access to your phi that we maintain in a designated record set
154,wk36 describe phi that will be used disclosed only for the optional study
154,we will use and share your phi to provide you with study related treatment and for payment for such treatment
154,s49 if option 3 is selected then text similar to the following should be used in the consent form
154,if the study has no external funding remove references to sponsor and replace with emory and children s healthcare only for minimal risk studies this section is not applicable and should be deleted
154,the sponsor will not pay for any items or services associated with the study slk53 the study sponsor does not plan to pay for any items or services that you may receive if you take part in this study
154,if this happens they will tell you about it
154,delete if not applicable
154,slk6 complete this section
154,if you revoke your authorization you will not be able to stay in the main wk44 study
154,wk42 add any other persons or entities who will have access to the optional study phi for safety or oversight purposes
154,wk26 include this text if there are optional studies in which the subject may choose to participate
154,the certificate of confidentiality does not stop you or someone else like a member of your family from giving out information about your participation in this study
154,once we do this the remaining information will not be subject to the privacy rules
154,the program will figure out if you have to pay any costs for taking part in the study and what those costs will be
154,the following people and groups will use your phi to make sure the research is done correctly and safely o emory offices that are part of the human research participant protection program and those that involved in study administration and billing
154,i17 if this is not a treatment study this section may be deleted
154,withdrawal from the study you have the right to leave a study at any time without penalty
154,slk46 instructions for completing this section there are 3 different icoi options
154,if you do not authorize the use and disclosure of your phi for the study then you may not participate in the research study or receive research related treatment
154,the sponsor will not pay for costs like co payments that your insurer says you have to pay
154,whenever possible a study number rather than your name will be used on study records
154,what kind of identifiers will be attached to the samples will the subjects be able to request destruction of banked samples later slk10 we have provided sample language that may or may not be applicable to your study
154,you will have to pay for the items or services that are part of this study
154,note that for non therapeutic studies the lar must have durable power of attorney for research they cannot just be next of kin study no
154,for example if emory or children s healthcare received a subpoena for study records it would not give out information that identifies you
154,for studies with no external funding replace sponsor with emory or whatever is appropriate
154,if you are not and have never been an emory or children s healthcare patient you do not have one
154,emory children s healthcare and the sponsor have not however set aside any money to pay you or to pay for this medical treatment
154,you should also let any health care provider who treats you know that you are in a research study
154,if you have insurance emory and children s healthcare will submit claims to your insurance for items and services that the sponsor does not cover
154,copies of the consent form hipaa authorization that you sign
154,people who do not have to follow the privacy rules can use or disclose your information with others without your permission if they are allowed to do so by the laws that cover them
154,wk30 delete this section if there is a certificate of confidentiality
154,you should let the study doctor know right away that you are ill or injured
154,before making your decision please carefully read this form or have it read to you please listen to the study doctor or study staff explain the study to you please ask questions about anything that is not clear you can take a copy of this consent form to keep
154,add any purposes for which phi will be used disclosed use and disclosure of your information that is required by law we will use and disclose your phi when we are required to do so by law
154,b if this is type of research study other than a fda regulated clinical investigation enter the name of the individual who is primarily responsible for the design and conduct of the study e g the principal investigator
154,the principal investigator and research staff will share your phi with other people and groups to help conduct the study or to provide oversight for the study
154,here we let you know how we will use and disclose your phi for the main wk25 study and for any optional studies in which you may choose to participate wk26 main study ks27 phi that will be used disclosed the phi that we will use and or disclose share for the research study includes medical information about you including your medical history and present past medications
154,the second mri scan will occur only if you agree to be in the study
154,i7 delete
154,you can also ask the study team for help in figuring out what you will have to pay
154,wk22 emory and children s healthcare do not control results from tests and procedures done at other places so these results will not be placed in your emory or children s healthcare medical record
154,slk53 if option 3 is selected then text similar to the following should be used in the consent form
154,the sponsor may disclose your phi to other people and groups like study monitors to help conduct the study or to provide oversight for the study
154,consent please print your name and sign below if you agree to be in this study
154,slk13 if there will be direct benefit to the subject delete this section and indicate the benefit
154,the program will figure out if you have to pay any costs for taking part in the study and what those costs will be
154,there are no costs research or standard of care related associated with the study slk51 there will be no costs to you for participating in this study other than basic expenses like transportation
154,other items you should know not all people and entities are covered by the privacy rules
154,you will have to pay for any costs that the sponsor or your insurer does not pay
154,the principal investigator and research staff will share your phi with other people and groups to help conduct the study or to provide oversight for the study
154,name of subject signature of subject date time signature of person conducting informed consent discussion date time name of person conducting informed consent discussion signature of legally authorized representative date time with authority for research decisions authority of legally authorized representative or relationship to subject i57 slk1 basic instructions for this form do not alter the stamping header in any way
154,the sponsor may use and disclose your phi to make sure the research is done correctly and to collect and analyze the results of the research
154,instructions for completing this section enter the name of the person entity who is taking responsibility for and initiating the clinical investigation and is carrying out fda regulatory requirements for sponsors
154,they will likely not be available to emory or children s healthcare to help take care of you
154,hipaa only applies to health care providers health care payers or health care clearinghouses
154,for studies without cost to the subjects please use option 1
154,id emory university irb irb use only document approved on approvedate page 1 of 2 version date mm dd yyyy irb form 04082014
154,if you leave the study we may use your phi to determine your health vital status or contact information
154,if you have insurance emory and children s healthcare will submit claims to your insurance for items and services that are part of this study
154,do not let anyone else take the study drug besides you slk12
154,you will receive total if you complete all study visits
154,slk51 if option 1 is selected then text similar to the following should be used in the consent form
154,if we disclose your information to people who are not covered by the privacy rules including hipaa then your information won
154,compensation slk15 you will not be offered payment for being in this study
154,your insurer may be told that you are in a research study
154,both drug a and drug b are fda approved for the treatment of renal cancer but not in this combination dosage
154,wk40 add any other persons or entities who will have access to the optional study phi and the purpose of their access
154,all comments should be deleted from the clean copy submitted to the irb for review
154,o add any others wk42 opting in to participation in optional study by initialing below i am opting to let my phi be used and disclosed as described for the optional study
154,in case of injury slk46 option 1 the sponsor may choose not to pay for subject injury costs for any subject no matter if the subject is insured or how he she is insured
154,you will not be charged for any of the research activities
154,you should also let any health care provider who treats you know that you are in a research study
154,wk22 include if hipaa authorization and consent are to be kept out of medical record
154,instructions for completing this section a insert the name of any third party ies who are providing financial or material support for the clinical investigation or research study
154,wk45 to maintain the integrity of this research study you generally will not have access to your phi related to this research until the study is complete
154,wk28 delete any inapplicable descriptions and add descriptions of any additional phi that will be collected
154,the actual amount that you have to pay depends on whether or not you have health insurance and whether or not that insurance will pay for any research study costs
154,if applicable if the study drug device is not fda approved e g the study drug has been tested in humans but is not yet fda approved
154,you should also let any health care provider who treats you know that you are in a research study
154,you will have to pay for the items or services for which the study sponsor does not pay
154,the study results may be used to help others in the future
154,they will only use and disclose your information as described in this consent and authorization
154,the most common risks and discomforts expected in this study are the less common risks and discomforts expected in this study are rare but possible risks include if you are a woman to protect against possible side effects of the study drug women who are pregnant or nursing a child may not take part in this study
154,instructions for completing this section enter the name of the individual who is initiating and conducting the clinical investigation
154,an emory or children s healthcare medical record will be made for you if an emory or children s provider or facility gives you any services or procedures for this study
154,wk33 include this language if sponsor has agreed to pay for all or any portion of subject injury
154,if you are a man the effect of the study drug on sperm is not known to protect against possible side effects if you are a man you should not get a sexual partner pregnant while taking the study drug and for days weeks months after the last dose
154,your insurance will be billed for any costs of medical treatment for your injury or illness that the sponsor does not pay
154,emory and children s healthcare have not set aside any money to pay you or to pay for your treatment if you get ill or injured from being in the study
154,if you decide to be in this study it is up to you to let your health providers know
154,emory and children s do not have control over any other medical records that you may have with other healthcare providers
154,we will give you a copy of the signed consent to keep
154,if you think that you have gotten pregnant during the study you must tell the study doctor immediately
154,your name and other identifying information will not appear when we present or publish the study results
154,if you believe you have become ill or injured from this study you should contact dr
154,you may be asked to sign a new consent form that includes the new information if you decide to stay in the study
154,if you will be taking the study drug home keep it out of the reach of children or anyone else who may not be able to read or understand the label
154,if you believe you have become ill or injured from this research you should contact dr
154,wk18 certificate of confidentiality there is a certificate of confidentiality from the national institutes of health for this study
154,you may search this web site at any time slk8 study overview the purpose of this study is to procedures slk9 risks and discomforts slk10 there may be side effects from the study drug or procedures that are not known at this time
154,slk15 if the compensation is more than 600 year please insert the following language please note that emory university is required to complete form 1099 for any participant payments over 600
154,if you do not have insurance emory and children s healthcare will review your case as part of their programs for low income patient care
154,the consent form should be written using 8th grade language as measured by flesch kincaid
154,if you do not finish the study you will be paid for the visits you have completed
154,this form is designed to tell you everything you need to think about before you decide to consent agree to be in the study or not to be in the study
154,but they may use or disclose the information you already gave them so they can follow the law protect your safety or make sure that the study was done properly and the data is correct
154,the sponsor will pay for any of the costs that are not paid by your insurance provider
154,from an third party or b this is any other type of research study that is receiving financial or material support from a third party
154,emory and children s healthcare will rely on the certificate of confidentiality to refuse to give out study information that identifies you
154,your insurer may be told that you are in a research study and given information about your treatment
154,it is a good idea to contact your insurance provider and tell them you want to be in this research study
154,we will use and disclose your phi for the administration and payment of any costs relating to subject injury from the study wk29
154,if you do not authorize the use and disclosure of your phi for the optional study then you may not participate in the optional research study
154,slk52 if option 2 is selected then text similar to the following should be used in the consent form
154,the sponsor will not pay for your regular medical care
154,if you decide to take part you can change your mind later on and withdraw from the research study
154,s48 if option 2 is selected then text similar to the following should be used in the consent form
154,wk44 delete this word if there are no optional studies
154,we will take reasonable steps to keep a copy of the consent and hipaa authorization forms you sign out of emory or children s healthcare s medical records system
154,the sponsor will not pay for your regular medical care
154,these risks are not yet known ks11 if you are a woman of childbearing ability you and the study doctor must agree on a method of birth control to use throughout the study
154,confidentiality emory and children s healthcare will keep any research records that it creates private to the extent that this is required to do so by law
154,anyone who has access to your medical records will be able to have access to all the study information placed there
154,you do not have to be in this study to be treated for condition
154,the researchers and sponsor i55 also have the right to stop your participation in this study without your consent if they believe it is in your best interest you were to object to any future changes that may be made in the study plan reasons specific to this study ks56 or for any other reason
154,s2 use the full title of the study s3 instructions for completing this section a if this is a fda regulated clinical investigation enter the name of the individual who is actually conducting the clinical investigation i e under whose immediate direction the study item is administered or dispensed
154,wk24 complete as appropriate
154,complete this section if a this is a fda regulated clinical investigation of a drug device or biologic and b the investigator for the clinical investigation is the individual who both initiates and conducts the clinical investigation and under whose immediate direction the investigational item is administered or dispensed
154,this may require an addendum or additional consent
154,wk28 purposes for which your phi will be used disclosed we will use and disclose your phi for the conduct and oversight of the research study
154,emory and children s healthcare will send in only those claims for items and services that it reasonably believes your insurance will pay and that the sponsor has not paid
154,option 2 the sponsor will pay for certain items or services associated with the study slk52 the study sponsor will pay for certain items and services that you may receive if you take part in this study
154,s47 if option 1 is selected then text similar to the following should be used in the consent form
154,emory and children s healthcare will not send any test or procedure results from the study to these providers
154,they also may be provided in response to a subpoena or a request for the production of documents
154,if you get ill or injured as the direct result of being in this study the sponsor will pay the costs for your medical treatment of the illness or injury if it a is not a medical condition that you had before you started the study b is not the result of the natural progress of your disease or condition c is not caused by your failure to follow the study plan and d is not proved to be directly caused by the negligence of an emory children s healthcare or sponsor employee
154,if you get ill or injured as the direct result of being in this study then depending on what insurance you may have the sponsor may pay for some or all of the costs for your medical treatment of the illness or injury if it a is not a medical condition that you had before you started the study b is not the result of the natural progress of your disease or condition c is not caused by your failure to follow the study plan and d is not proved to be directly caused by the negligence of an emory or children s healthcare employee
154,the actual amount that you have to pay depends on whether or not you have health insurance and whether or not that insurance will pay for any research study costs
154,for example if you let your insurance company know that you are in this study and consent to give the insurance company research information then the investigator can t use the certificate to withhold this information
154,if applicable if the study drug device is fda approved but this is an off label use e g the study drug is fda approved for treatment of renal cancer but not is not yet approved for the treatment of breast cancer
154,it is a good idea to contact your insurance provider and tell them you want to be in this research study
154,slk54 delete if not applicable
154,the researchers will will not wk23 be looking at the results of these test and procedures to make decision about your personal health or treatment
154,people that will use and or disclose your phi for optional study the following people and groups will use and disclose your phi in connection with the optional research study the principal investigator and the research staff will use your phi to conduct the study
154,slk50 instructions for completing this section studies may either have costs to the subjects or none for studies with costs to the subject there are 2 different costs options please refer to your funding document grant sub contract clinical trial agreement etc and select the appropriate language
154,slk13 your condition may improve while you are in this study but it may not and it may even get worse i14 this study is designed to learn more about
154,introduction you are being asked to be in a medical research study
154,o add any others including other irbs which may have access to phi wk35 optional study phi that will be used disclosed for optional study the phi that we will use and or disclose share for the optional research study includes wk36 purposes for which your phi will be used disclosed for optional study we will use and disclose your phi for the conduct and oversight of the optional research study including the administration and payment of any costs relating to subject injury wk37 authorization to use phi is required to participate in optional study but not in the main study you do not have to authorize the use and disclosure of your phi
154,the sponsor may choose to pay for subject injury costs for all subjects no matter if the subject is insured or how he she is insured
154,for your safety however you should consider the study doctor s advice about how to go off the study treatment
154,medical record if you are or have been an emory or children s healthcare patient you have an emory or children s healthcare medical record
154,wk29 include this language if the sponsor will be paying for all or any part of costs relating to subject injury
154,wk25 use the term main if there is a main study and optional sub studies delete the word main if there is only a single main study
154,emory university and children s healthcare of atlanta consent to be a research subject and hipaa authorization slk1 title s2 principal investigator s3 sponsor slk4 investigator sponsor slk5 study supporter slk6 if you are the legal guardian of a child who is being asked to participate the term you used in this consent refers to your child i7
154,you should let the study doctor know right away that you are ill or injured
154,new information it is possible that the researchers will learn something new during the study about the risks of being in it
154,emory and children s healthcare have not set aside any money to pay you or to pay for your treatment if you get ill or injured from being in the study
154,wk37 include this language if the sponsor will be paying for all or any part of costs relating to subject injury
154,by signing this consent form you will not give up any of your legal rights
154,complete this section if a this is a fda regulated clinical investigation of a drug device or biologic and b there is a person entity other than the investigator who is taking responsibility for and initiating the clinical investigation and who will be responsible for carrying out requirements imposed upon sponsors by the fda
154,include this section only if there is an optional sub study in addition to the main study
154,revoking your authorization if you sign this form at any time later you may revoke take back your permission to use your information
154,emory or children s healthcare may create study information about you that can help with your care
693,d provider performing procedure date time md lip rn site side verification
693,i consent to the administration of sedation as deemed necessary
693,or d the site side marking s of the central line procedure as required by stony brook university medical center policy could not be done for the following reason s
693,patient must complete or write none
693,stony brook t university medical center stony brool n y 11794 central line consent
693,id provider signature post procedure checks d guidewire removed and visualized at end of procedure two initials kits opened guidewires verified d all sharps and equipmenlaccounted for and appropriately discarded
693,d i have assessed the patient the patient s current status concurs with the history and physical examination o i have marked the site s and side s of the procedure as required by stony brook university medical center policy
693,if a break is observed check
693,d other please fax completed sheets to cqj 4 5870 attn diane calabrese revised 112412014
693,checklist
693,i understand that in the event one or more of my healthcare providers sustains a needlestick sharp injury or exposure to my blood bodily fluids that blood may be drawn and may be tested for hepatitis and the result of that hepatitis testing disclosed to the health care providers who sustained the exposure
693,i also understand that portions of the procedure may be photographed or videotaped and i consent to this as long as my identity is not revealed
693,i insertion form i request and consent to a central line insertion procedure
693,d x ray ordered d imaging not immediately indicated comments provider signature i
693,all blank spaces have been either completed or lined out prior to my signing this document
693,i confirm that i have identified the operative site side and that the patient is marked or an exception was documented as above
693,the patient was correctly identified by name and date of birth the correct procedure is planned the consent form is complete and accurate or emergent consent is documented provider signature id date time initials verifier signature id date time initials procedure note operator supervisor other participants procedure circle one double lumen triple lumen introducer cordis dialysis catheter positioned at the ur internal jugular subclavian femoral vein site ultrasound guidance used consent d obtained and on chart dy on if yes sterile sheath used for transducer probe
693,there is oral agreement between the provider performing the procedure the anesthesiologist if applicable and myself
693,i understand that unforeseen complications or conditions may arise during this procedure and i consent to any additional procedures that the physician s may deem advisable in their professional judgment
693,i verify that i have reviewed this consent and confirm the accuracy of the document including the description of the procedure
693,signature id of practitioner date dan interpreter or special assistance was used to obtain consent from this patient time name of interpreter
693,nurse completes the checklist as primary observer
693,if unavailable a physician or lip completes 2
693,y j t 791 central line consent
693,check box if criteria have been met at time of central line insertion
693,i have assessed reassessed and updated patient s current condition and or completed a new history physical
693,yes w reminder location of insertion ai n j allow to dry thoroughly j
693,central line insertion bundle checklist directions 1
693,i have been given the opportunity to ask questions and my questions have been answered to my satisfaction
633,i understand the risks associated with the communications of e mail between the cod and me and consent to the conditions outlined herein as well as any other instructions that the cod may impose to communicate with me by e mail
633,you agree that the cod may forward e mails as appropriate for diagnosis treatment reimbursement and other related reasons
633,additionally the cod will not be liable in the event that you or anyone else inappropriately uses or accesses your e mail
633,you should be aware of the following risks and or your responsibilities as the internet is not secure or private unauthorized people may be able to intercept read and possibly modify email you send or are sent by cod
633,i understand that this consent is valid until such time as i revoke the consent as outlined above except to the extent that a person who is to make a communication has already acted in reliance upon this authorization
633,if you wish to withdraw your consent to communicate by e mail you must send an e mail to the cod stating such
633,by signing below i acknowledge that i have read and fully understand this consent form
633,you should carefully consider the use of e mail for the communication of sensitive medical information such as but not limited to information regarding sexually transmitted diseases aids hiv mental health developmental disability or substance abuse
633,instructions you should immediately inform the cod if you change your e mail address
633,if your e mail requires or asks for a response and you have not received a response within a reasonable time period it is your responsibility to follow up directly with the cod
633,such access will only be to persons who have a right to access your e mail to provide services to you
633,you should not use e mail to communicate with the cod if there is an emergency or where you require an answer in a short period of time
633,consent to communicate phi by email i expressly permit the college of dentistry and dental clinics cod to communicate my protected health information phi via email to the e mail address indicated on my patient registration form patient record or this form
633,conditions for the use of e mail by consenting to the use of e mail with the cod
633,e mail risks and your responsibility if you agree to permit the cod to use e mail to communicate with you
633,you must protect your e mail account password and computer against access by unauthorized people
633,this permit also applies to any email that the cod may send to my referring dental medical provider if appropriate
633,the cod will not forward e mails to independent third parties without your prior written consent except as authorized or required by law
633,however because of the risks outlined above the cod cannot guarantee that e mail will be confidential
633,acknowledgment and agreement cod will use reasonable means to protect the privacy of the patient s health information
3,c medically indicated induction will be given priority
3,lfa concern exists about the prioritization of patients to be induced the physician may request the l d hrob nurse manager or assistant nurse manager review the induction consent and scheduling form completed for each patient scheduled to be induced
3,in an attempt to resolve the issue the nurse manager may discuss with the provider involved or the department chair
3,the physician must complete the scheduling form and fax it to l d within 24 hours of the call
3,the physician may approve a later start time for that day or elect to reschedule
3,the ohio state university medical center fan induction scheduling consent form consent 09 08161 11 o id medical scheduled delivery form guidelines for scheduling center purqose to provide guidance in scheduling and prioritizing of inductions
443,example we are asking you to help us learn more about malaria in your community
